"STATION","DATE","DLY-CLDD-BASE40","DLY-CLDD-BASE45","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-HTDD-BASE60","DLY-HTDD-NORMAL","DLY-PRCP-20PCTL","DLY-PRCP-80PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-PRCP-PCTALL-GE200HI","DLY-PRCP-PCTALL-GE400HI","DLY-PRCP-PCTALL-GE600HI","DLY-SNOW-20PCTL","DLY-SNOW-80PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE020TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE040TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNOW-PCTALL-GE200TI","DLY-SNWD-20PCTL","DLY-SNWD-80PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE002WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE004WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","DLY-SNWD-PCTALL-GE020WI","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL","day","hour","month"
"USC00043134","01-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.33",,"0.33",,"01","99","01"
"USC00043134","01-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.63",,"0.63",,"02","99","01"
"USC00043134","01-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.90",,"0.90",,"03","99","01"
"USC00043134","01-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.16",,"1.16",,"04","99","01"
"USC00043134","01-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.43",,"1.43",,"05","99","01"
"USC00043134","01-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.67",,"1.67",,"06","99","01"
"USC00043134","01-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.92",,"1.92",,"07","99","01"
"USC00043134","01-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.18",,"2.18",,"08","99","01"
"USC00043134","01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.46",,"2.46",,"09","99","01"
"USC00043134","01-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.73",,"2.73",,"10","99","01"
"USC00043134","01-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.99",,"2.99",,"11","99","01"
"USC00043134","01-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.25",,"3.25",,"12","99","01"
"USC00043134","01-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.48",,"3.48",,"13","99","01"
"USC00043134","01-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.71",,"3.71",,"14","99","01"
"USC00043134","01-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.94",,"3.94",,"15","99","01"
"USC00043134","01-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.18",,"4.18",,"16","99","01"
"USC00043134","01-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.44",,"4.44",,"17","99","01"
"USC00043134","01-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.68",,"4.68",,"18","99","01"
"USC00043134","01-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.90",,"4.90",,"19","99","01"
"USC00043134","01-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.12",,"5.12",,"20","99","01"
"USC00043134","01-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.37",,"5.37",,"21","99","01"
"USC00043134","01-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.61",,"5.61",,"22","99","01"
"USC00043134","01-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.86",,"5.86",,"23","99","01"
"USC00043134","01-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.10",,"6.10",,"24","99","01"
"USC00043134","01-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.35",,"6.35",,"25","99","01"
"USC00043134","01-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.61",,"6.61",,"26","99","01"
"USC00043134","01-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.87",,"6.87",,"27","99","01"
"USC00043134","01-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.13",,"7.13",,"28","99","01"
"USC00043134","01-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.42",,"7.42",,"29","99","01"
"USC00043134","01-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.73",,"7.73",,"30","99","01"
"USC00043134","01-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.04",,"8.04",,"31","99","01"
"USC00043134","02-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28",,"8.32",,"01","99","02"
"USC00043134","02-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.55",,"8.59",,"02","99","02"
"USC00043134","02-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.82",,"8.86",,"03","99","02"
"USC00043134","02-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.09",,"9.13",,"04","99","02"
"USC00043134","02-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.36",,"9.40",,"05","99","02"
"USC00043134","02-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.62",,"9.66",,"06","99","02"
"USC00043134","02-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.88",,"9.92",,"07","99","02"
"USC00043134","02-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.16",,"10.20",,"08","99","02"
"USC00043134","02-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.44",,"10.48",,"09","99","02"
"USC00043134","02-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.73",,"10.77",,"10","99","02"
"USC00043134","02-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.02",,"11.06",,"11","99","02"
"USC00043134","02-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.33",,"11.37",,"12","99","02"
"USC00043134","02-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.68",,"11.72",,"13","99","02"
"USC00043134","02-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.03",,"12.07",,"14","99","02"
"USC00043134","02-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.38",,"12.42",,"15","99","02"
"USC00043134","02-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.72",,"12.76",,"16","99","02"
"USC00043134","02-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.09",,"13.13",,"17","99","02"
"USC00043134","02-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.48",,"13.52",,"18","99","02"
"USC00043134","02-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.85",,"13.89",,"19","99","02"
"USC00043134","02-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.20",,"14.24",,"20","99","02"
"USC00043134","02-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.54",,"14.58",,"21","99","02"
"USC00043134","02-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.89",,"14.93",,"22","99","02"
"USC00043134","02-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.23",,"15.27",,"23","99","02"
"USC00043134","02-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.56",,"15.60",,"24","99","02"
"USC00043134","02-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.89",,"15.93",,"25","99","02"
"USC00043134","02-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.20",,"16.24",,"26","99","02"
"USC00043134","02-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.51",,"16.55",,"27","99","02"
"USC00043134","02-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.81",,"16.85",,"28","99","02"
"USC00043134","02-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9999.00",,"-9999.00",,"29","99","02"
"USC00043134","03-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.45",,"17.30",,"01","99","03"
"USC00043134","03-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.89",,"17.74",,"02","99","03"
"USC00043134","03-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.35",,"18.20",,"03","99","03"
"USC00043134","03-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.78",,"18.63",,"04","99","03"
"USC00043134","03-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.21",,"19.06",,"05","99","03"
"USC00043134","03-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.63",,"19.48",,"06","99","03"
"USC00043134","03-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.04",,"19.89",,"07","99","03"
"USC00043134","03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.45",,"20.30",,"08","99","03"
"USC00043134","03-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.86",,"20.71",,"09","99","03"
"USC00043134","03-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.24",,"21.09",,"10","99","03"
"USC00043134","03-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.61",,"21.46",,"11","99","03"
"USC00043134","03-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.96",,"21.81",,"12","99","03"
"USC00043134","03-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.29",,"22.14",,"13","99","03"
"USC00043134","03-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.57",,"22.42",,"14","99","03"
"USC00043134","03-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.81",,"22.66",,"15","99","03"
"USC00043134","03-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.06",,"22.91",,"16","99","03"
"USC00043134","03-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.31",,"23.16",,"17","99","03"
"USC00043134","03-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.51",,"23.36",,"18","99","03"
"USC00043134","03-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.67",,"23.52",,"19","99","03"
"USC00043134","03-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.87",,"23.72",,"20","99","03"
